step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
224,400.000000,25.935301,-1928.729098,-1989.837710,72.163229,-4.629648,-6.806828,0.103200
225,400.000000,25.916427,-1938.980081,-2000.044224,71.745083,-4.629648,-6.806828,0.103064
226,400.000000,25.531964,-1933.955649,-1994.113922,68.173593,-4.629648,-6.806828,0.103018
227,400.000000,26.387895,-1939.749413,-2001.924425,67.701029,-4.629648,-6.806828,0.102982
228,400.000000,26.416716,-1942.940087,-2005.183006,73.278084,-4.629648,-6.806828,0.102828
229,400.000000,26.830448,-1948.349988,-2011.567742,75.508037,-4.629648,-6.806828,0.102696
230,400.000000,26.591036,-1947.714301,-2010.367954,71.856285,-4.629648,-6.806828,0.102608
231,400.000000,27.979871,-1955.082618,-2021.008637,72.746715,-4.629648,-6.806828,0.102532
232,400.000000,27.979871,-1956.169614,-2022.095633,71.639438,-4.629648,-6.806828,0.102521
233,400.000000,27.861160,-1959.408348,-2025.054660,72.930287,-4.629648,-6.806828,0.102489
234,400.000000,27.861160,-1952.882441,-2018.528753,70.040754,-4.629648,-6.806828,0.102436
235,400.000000,27.803788,-1949.059609,-2014.570741,70.318201,-4.629648,-6.806828,0.102542
236,400.000000,27.509233,-1946.536870,-2011.353972,71.243591,-4.629648,-6.806828,0.102500
237,400.000000,27.516823,-1949.661925,-2014.496913,72.303017,-4.629648,-6.806828,0.102384
238,400.000000,27.749950,-1943.136325,-2008.520603,69.851711,-4.629648,-6.806828,0.102343
239,400.000000,27.645878,-1938.480606,-2003.619672,-6.893619,-4.629648,-6.806828,0.102281
240,400.000000,27.723283,-1950.708171,-2016.029617,14.657043,-4.629648,-6.806828,0.102334
241,400.000000,27.772847,-1948.019022,-2013.457251,12.589837,-4.629648,-6.806828,0.102304
242,400.000000,27.175676,-1945.205063,-2009.236242,15.758519,-4.629648,-6.806828,0.102305
243,400.000000,27.035134,-1946.879260,-2010.579294,12.829355,-4.629648,-6.806828,0.102275
244,400.000000,26.003135,-1943.870190,-2005.138632,20.492323,-4.629648,-6.806828,0.102357
245,400.000000,23.030387,-1953.250775,-2007.514847,23.257012,-4.629648,-6.806828,0.102317
246,400.000000,23.517146,-1951.863869,-2007.274838,19.942141,-4.629648,-6.806828,0.102237
247,400.000000,23.445639,-1963.536685,-2018.779170,18.503631,-4.629648,-6.806828,0.102208
248,400.000000,23.860393,-1965.580511,-2021.800238,20.854038,-4.629648,-6.806828,0.102088
249,400.000000,23.860393,-1964.849882,-2021.069608,61.544966,-4.629648,-6.806828,0.102020
250,400.000000,26.333990,-1953.140268,-2015.188271,60.584898,-4.629648,-6.806828,0.102002
251,400.000000,26.375643,-1955.434256,-2017.580399,61.198346,-4.629648,-6.806828,0.101915
